ROI,fv_001,fv_002,fv_003,fv_004,fv_005,fv_006,fv_007,fv_008,class
029_1,0.042661,0.21892,0.31799,0.18047,0.10441,0.072972,0.062588,0,2
030_1,0.11185,0.26088,0.2595,0.13526,0.082645,0.076033,0.073829,0,2
031_1,0.081097,0.20274,0.27527,0.17704,0.093375,0.090234,0.08024,0,2
032_1,0.06533,0.20287,0.28768,0.19054,0.096562,0.079943,0.077077,0,2
033_1,0.065465,0.23721,0.3419,0.20753,0.075007,0.040021,0.032865,0,2
034_1,0.04124,0.23997,0.36313,0.19374,0.076944,0.047883,0.037088,0,2
035_1,0.051868,0.18382,0.30583,0.20613,0.10159,0.087611,0.063155,0,2
036_1,0.045631,0.18953,0.32538,0.20767,0.10319,0.07104,0.057558,0,2
037_1,0.28768,0.36764,0.16126,0.075905,0.04295,0.032955,0.031605,0,2
038_1,0.2903,0.35134,0.16962,0.076512,0.048101,0.03488,0.029255,0,2
039_1,0.16252,0.25519,0.24205,0.13313,0.074689,0.063624,0.068811,0,2
040_1,0.089689,0.24124,0.29067,0.17054,0.079869,0.070376,0.05761,0,2
041_1,0.21301,0.299,0.20055,0.10514,0.060468,0.054391,0.067457,0,2
042_1,0.18469,0.28392,0.22297,0.10658,0.067381,0.062787,0.071669,0,2
043_1,0.18304,0.29478,0.22908,0.12942,0.074116,0.045761,0.043796,0,2
044_1,0.12053,0.25232,0.28274,0.16221,0.080541,0.05238,0.049282,0,2
045_1,0.075007,0.24114,0.293,0.18488,0.097861,0.051275,0.056841,0,2
046_1,0.11929,0.29338,0.27369,0.13071,0.069064,0.059646,0.054224,0,2
047_1,0.1071,0.31071,0.29884,0.14839,0.070194,0.037677,0.027097,0,2
048_1,0.084237,0.29024,0.30859,0.17153,0.071726,0.037531,0.036141,0,2
049_1,0.084507,0.14113,0.18712,0.20121,0.16614,0.13222,0.087669,0,2
050_1,0.04934,0.12249,0.22347,0.22748,0.17011,0.12192,0.085198,0,2
051_1,0.056038,0.11444,0.20942,0.23441,0.18232,0.13181,0.07156,0,2
052_1,0.065329,0.16487,0.27006,0.2091,0.13992,0.099537,0.051183,0,2
053_1,0.18927,0.25045,0.19082,0.14363,0.11926,0.069484,0.037075,0,2
054_1,0.1279,0.22311,0.21996,0.16605,0.11987,0.079438,0.063665,0,2
055_1,0.12071,0.20346,0.23038,0.18844,0.13403,0.072258,0.050723,0,2
056_1,0.14205,0.21719,0.24009,0.18477,0.1194,0.063562,0.032939,0,2
057_1,0.0019763,0.020892,0.24929,0.4616,0.14709,0.071429,0.047713,0,2
058_1,0.0010738,0.025503,0.29181,0.4502,0.13128,0.060134,0.04,0,2
059_1,0,0.026549,0.3255,0.44303,0.11864,0.046737,0.039546,0,2
060_1,0.0010249,0.021009,0.2557,0.44735,0.1691,0.071227,0.034589,0,2
061_1,0.00077141,0.017742,0.18925,0.46979,0.19491,0.08254,0.044999,0,2
062_1,0.0007722,0.0082368,0.14517,0.49086,0.22574,0.081853,0.047362,0,2
063_1,0.0010152,0.0071066,0.12437,0.50457,0.25939,0.069543,0.03401,0,2
064_1,0.00076726,0.0099744,0.17084,0.51509,0.19488,0.070077,0.038363,0,2
065_1,0.00077121,0.0064267,0.12879,0.50925,0.23779,0.075835,0.041131,0,2
066_1,0,0.011465,0.22675,0.41682,0.19159,0.1014,0.051975,0,2
067_1,0.0023148,0.028549,0.24331,0.41641,0.17258,0.084105,0.052726,0,2
068_1,0.0027322,0.025683,0.21612,0.36503,0.19098,0.11667,0.082787,0,2
069_1,0.0011016,0.020105,0.18287,0.3751,0.2038,0.13027,0.086753,0,2
070_1,0.00054201,0.014363,0.21463,0.3897,0.18699,0.1187,0.075068,0,2
071_1,0,0.013818,0.22313,0.4501,0.17579,0.08828,0.048874,0,2
072_1,0.0019548,0.039374,0.29014,0.36414,0.18096,0.083775,0.039654,0,2
073_1,0.0025134,0.031103,0.15646,0.28872,0.2196,0.17122,0.13038,0,2
074_1,0.0014741,0.019752,0.15006,0.3293,0.21403,0.15949,0.12588,0,2
075_1,0.00026969,0.011327,0.19202,0.39968,0.17826,0.12783,0.090615,0,2
076_1,0.00026504,0.015902,0.22078,0.47442,0.16698,0.075007,0.046647,0,2
077_1,0.00056899,0.015647,0.19431,0.40256,0.22447,0.10526,0.057183,0,2
078_1,0.001392,0.0080735,0.14087,0.40451,0.26893,0.11776,0.058463,0,2
079_1,0.0013744,0.0076965,0.10885,0.36971,0.28312,0.15228,0.076965,0,2
080_1,0.0013011,0.008587,0.14234,0.38355,0.27166,0.13427,0.058288,0,2
081_1,0.0012877,0.0084986,0.17667,0.43987,0.24955,0.089106,0.035024,0,2
082_1,0.0013007,0.0093652,0.12279,0.41805,0.2833,0.11733,0.047867,0,2
083_1,0.001288,0.0082432,0.1221,0.43457,0.28104,0.11051,0.042246,0,2
084_1,0.0025387,0.022848,0.28154,0.42422,0.17923,0.054836,0.03478,0,2
085_1,0.0012784,0.018921,0.28765,0.39964,0.18537,0.067758,0.039376,0,2
086_1,0.0010323,0.015484,0.28077,0.43071,0.16206,0.065806,0.044129,0,2
087_1,0.0041436,0.026243,0.27624,0.45414,0.15221,0.042818,0.044199,0,2
088_1,0.0093049,0.02983,0.24603,0.44773,0.15463,0.051998,0.060482,0,2
089_1,0.0158,0.029015,0.2235,0.4424,0.16317,0.054869,0.071244,0,2
090_1,0.02879,0.036428,0.20006,0.37515,0.19653,0.086957,0.076087,0,2
091_1,0.025227,0.030612,0.21995,0.37132,0.2038,0.086735,0.062358,0,2
092_1,0.015506,0.021491,0.23694,0.42845,0.17002,0.074538,0.053047,0,2
093_1,0.0066787,0.011302,0.23247,0.51451,0.15181,0.050604,0.032623,0,2
094_1,0.0028424,0.039018,0.30155,0.40388,0.16848,0.04677,0.037468,0,2
095_1,0.0091769,0.043017,0.24577,0.38084,0.17006,0.065099,0.086034,0,2
096_1,0.017726,0.039799,0.19632,0.35819,0.18997,0.071572,0.12642,0,2
097_1,0.036145,0.034684,0.12048,0.33808,0.22271,0.10296,0.14494,0,2
098_1,0.029776,0.027768,0.16929,0.34761,0.21981,0.098361,0.10739,0,2
099_1,0.017146,0.024412,0.23685,0.41965,0.16565,0.067422,0.068875,0,2
100_1,0.007013,0.015584,0.25922,0.48312,0.14,0.052987,0.042078,0,2
101_1,0,0.0085625,0.23067,0.54515,0.15309,0.041775,0.020758,0,2
102_1,0.00078186,0.046912,0.33802,0.34558,0.13917,0.078968,0.05056,0,2
103_1,0.0040299,0.043754,0.27317,0.34197,0.15976,0.096431,0.080887,0,2
104_1,0.063418,0.04773,0.31375,0.32877,0.11749,0.059079,0.06976,0,2
105_1,0.0022075,0.0085147,0.081362,0.30968,0.29959,0.17629,0.12236,0,2
106_1,0.0018802,0.0075208,0.073059,0.33736,0.3379,0.1668,0.075477,0,2
107_1,0,0.045198,0.34335,0.34052,0.14047,0.080123,0.050334,0,2
108_1,0.00079512,0.042937,0.26451,0.33342,0.17493,0.10893,0.074477,0,2
109_1,0.0027762,0.033592,0.21516,0.33176,0.18823,0.12354,0.10494,0,2
110_1,0.0019058,0.009529,0.1364,0.37,0.26545,0.12987,0.08685,0,2
111_1,0.0026969,0.0035059,0.080636,0.37109,0.33846,0.13646,0.067152,0,2
112_1,0,0.045165,0.34802,0.37462,0.13993,0.058465,0.033804,0,2
113_1,0,0.029221,0.27408,0.4072,0.1691,0.073864,0.046537,0,2
114_1,0,0.0074979,0.16995,0.44265,0.22938,0.097473,0.053041,0,2
115_1,0.0027757,0.040121,0.36033,0.40222,0.12137,0.041635,0.031542,0,2
116_1,0.0023172,0.031411,0.32853,0.41864,0.13079,0.048919,0.039392,0,2
117_1,0.0019515,0.024254,0.25481,0.43518,0.1511,0.08252,0.050181,0,2
118_1,0.0014237,0.019647,0.26395,0.4459,0.14095,0.077164,0.050968,0,2
119_1,0.0011031,0.017099,0.29785,0.44788,0.13651,0.063431,0.036128,0,2
120_1,0,0.012791,0.27526,0.45945,0.15605,0.066769,0.029675,0,2
121_1,0.0042875,0.045397,0.29231,0.35939,0.17276,0.079445,0.046406,0,2
122_1,0.0022567,0.047109,0.26855,0.33992,0.18815,0.084344,0.069676,0,2
123_1,0.0029164,0.038561,0.29391,0.41218,0.13545,0.06092,0.05606,0,2
124_1,0.0013323,0.026379,0.27711,0.41913,0.16227,0.070877,0.042899,0,2
125_1,0.0031197,0.049631,0.32813,0.30318,0.15116,0.096994,0.067782,0,2
126_1,0.0048154,0.034029,0.174,0.31172,0.23018,0.1297,0.11557,0,2
127_1,0.0029197,0.018978,0.093431,0.31387,0.34803,0.12701,0.095766,0,2
128_1,0.0036282,0.050516,0.3405,0.35808,0.1362,0.062797,0.048284,0,2
129_1,0.0040276,0.033372,0.24914,0.37227,0.19045,0.09206,0.058688,0,2
130_1,0.0096707,0.10063,0.48223,0.27548,0.073445,0.027967,0.03058,0,2
131_1,0.0055162,0.078802,0.52009,0.28264,0.06094,0.023641,0.028369,0,2
132_1,0,0.05212,0.52957,0.32163,0.059411,0.018904,0.018363,0,2
133_1,0.031662,0.1963,0.3959,0.20035,0.08612,0.043566,0.046099,0,2
134_1,0.036772,0.16852,0.4045,0.20847,0.076455,0.046825,0.058466,0,2
135_1,0.028698,0.13225,0.43462,0.22041,0.069822,0.041124,0.073077,0,2
136_1,0,0.024124,0.32583,0.34513,0.14056,0.090061,0.0743,0,2
137_1,0.00027847,0.017822,0.23448,0.35533,0.17934,0.12838,0.084378,0,2
138_1,0.00025465,0.015533,0.19251,0.37688,0.21772,0.13369,0.063407,0,2
139_1,0.00025336,0.0093742,0.16063,0.44895,0.23892,0.10058,0.041297,0,2
140_1,0.00027533,0.013491,0.15914,0.39235,0.23431,0.12775,0.072687,0,2
141_1,0.0032042,0.028546,0.31285,0.39033,0.12292,0.073988,0.068162,0,2
142_1,0.0018215,0.038772,0.28649,0.33568,0.17955,0.10773,0.049961,0,2
143_1,0.0018172,0.028816,0.2352,0.36267,0.20275,0.11708,0.051661,0,2
144_1,0.016925,0.014343,0.12507,0.36661,0.29174,0.12478,0.060528,0,2
145_1,0.0049261,0.0085559,0.10786,0.38942,0.29142,0.1413,0.056521,0,2
146_1,0.00024969,0.0029963,0.094382,0.44395,0.28814,0.13308,0.037203,0,2
147_1,0.0056741,0.0097271,0.10997,0.38422,0.27641,0.14347,0.070521,0,2
148_1,0,0.005627,0.12085,0.46945,0.2567,0.10959,0.037781,0,2
149_1,0.0064395,0.15374,0.41401,0.24148,0.091763,0.048296,0.044272,0,2
150_1,0.0062112,0.14427,0.39526,0.2891,0.083286,0.041784,0.04009,0,2
151_1,0.0025324,0.11227,0.36044,0.31654,0.11874,0.048115,0.041362,0,2
152_1,0.0013617,0.055828,0.29766,0.375,0.16476,0.065359,0.040033,0,2
153_1,0.0048837,0.021546,0.24504,0.38667,0.18845,0.098535,0.054869,0,2
154_1,0.0083259,0.044008,0.26702,0.34701,0.15552,0.10675,0.071365,0,2
155_1,0.0036745,0.10735,0.40971,0.28031,0.10026,0.055118,0.04357,0,2
156_1,0.0043992,0.10998,0.41023,0.27743,0.097058,0.050041,0.050866,0,2
157_1,0.0083927,0.15081,0.39496,0.2149,0.12208,0.071719,0.037131,0,2
158_1,0.0080992,0.13338,0.42192,0.23488,0.10377,0.062263,0.035687,0,2
159_1,0.0040858,0.079418,0.33504,0.28575,0.15884,0.09525,0.041624,0,2
160_1,0.0055133,0.068784,0.32344,0.2775,0.16697,0.1079,0.049882,0,2
161_1,0.0023431,0.027337,0.23614,0.35147,0.19214,0.12939,0.061182,0,2
162_1,0.0020763,0.020504,0.21801,0.3605,0.20504,0.13781,0.05606,0,2
163_1,0.01311,0.16374,0.39358,0.21423,0.12106,0.059135,0.035146,0,2
164_1,0.0057489,0.049622,0.25628,0.24145,0.19002,0.14402,0.11286,0,2
165_1,0.0088658,0.040355,0.2244,0.22806,0.19413,0.16692,0.13727,0,2
166_1,0.0047804,0.028085,0.16851,0.28443,0.20586,0.17299,0.13535,0,2
167_1,0.0044818,0.017927,0.19692,0.32913,0.19804,0.14706,0.10644,0,2
168_1,0.0017958,0.014879,0.20498,0.42278,0.19318,0.10005,0.06234,0,2
169_1,0,0.0010621,0.17525,0.49947,0.22464,0.067977,0.031599,0,2
170_1,0.0046512,0.019767,0.17645,0.325,0.21744,0.14797,0.10872,0,2
171_1,0.0023548,0.015437,0.18315,0.41313,0.2203,0.10387,0.061748,0,2
172_1,0.0029535,0.094019,0.39897,0.32488,0.1078,0.050701,0.020674,0,2
173_1,0.0022102,0.069008,0.36861,0.35437,0.12205,0.059676,0.024067,0,2
174_1,0,0.015487,0.28736,0.41839,0.1556,0.08825,0.034907,0,2
175_1,0.00024637,0.01355,0.22247,0.42252,0.18946,0.11037,0.04139,0,2
176_1,0,0.005988,0.18771,0.48503,0.20333,0.085915,0.032023,0,2
177_1,0.018066,0.2145,0.4687,0.17786,0.065394,0.033588,0.021883,0,2
178_1,0.017961,0.17379,0.42348,0.21806,0.098659,0.037946,0.030104,0,2
179_1,0.014138,0.12421,0.3537,0.32568,0.11613,0.038627,0.027518,0,2
180_1,0.0045181,0.047691,0.27134,0.39859,0.1629,0.071034,0.043926,0,2
181_1,0.00052016,0.020286,0.2156,0.43485,0.2039,0.076983,0.047854,0,2
182_1,0.0031738,0.01534,0.15234,0.39698,0.24861,0.11505,0.0685,0,2
183_1,0.0026448,0.012695,0.15789,0.41074,0.26422,0.096271,0.055541,0,2
184_1,0.0022539,0.0095167,0.17806,0.45505,0.24192,0.082394,0.030804,0,2
185_1,0.00061576,0.017549,0.17734,0.36238,0.20567,0.12562,0.11084,0,2
186_1,0.003681,0.020245,0.13344,0.30521,0.23558,0.16718,0.13466,0,2
187_1,0.0031958,0.01627,0.17461,0.33091,0.23707,0.13132,0.10662,0,2
188_1,0.0028461,0.012419,0.19353,0.41061,0.23441,0.096248,0.049935,0,2
189_1,0.00024716,0.0069204,0.19748,0.50766,0.2175,0.053633,0.01656,0,2
190_1,0.0037186,0.020452,0.19089,0.2947,0.21723,0.14534,0.12767,0,2
191_1,0.0028646,0.017448,0.19505,0.38594,0.2388,0.099219,0.060677,0,2
192_1,0.00026667,0.0104,0.18853,0.48053,0.23173,0.065867,0.022667,0,2
193_1,0.0038511,0.021502,0.17619,0.34403,0.22689,0.12131,0.10623,0,2
194_1,0.053195,0.24429,0.29777,0.12345,0.08355,0.098294,0.099451,0,2
195_1,0.063734,0.21743,0.29244,0.14326,0.10237,0.092217,0.08855,0,2
196_1,0.038741,0.16465,0.34033,0.20689,0.10681,0.083401,0.059188,0,2
197_1,0.023425,0.11452,0.36674,0.29178,0.11452,0.051796,0.03722,0,2
198_1,0.011154,0.077821,0.35201,0.29883,0.13178,0.074968,0.053437,0,2
199_1,0.0018975,0.052318,0.29358,0.28951,0.16481,0.11114,0.086744,0,2
200_1,0.0038462,0.056319,0.23681,0.27637,0.17912,0.14038,0.10714,0,2
201_1,0.0031974,0.040767,0.22036,0.34133,0.18145,0.1255,0.087397,0,2
202_1,0.0017513,0.029772,0.21541,0.43433,0.1949,0.07956,0.044283,0,2
203_1,0.01166,0.067505,0.27309,0.2645,0.15956,0.11507,0.10862,0,2
204_1,0.0021238,0.052791,0.22907,0.24029,0.179,0.15564,0.14108,0,2
205_1,0.0036485,0.05868,0.17939,0.24019,0.18547,0.17604,0.15658,0,2
206_1,0.0043617,0.044199,0.16371,0.32073,0.19831,0.15004,0.11864,0,2
207_1,0.0013014,0.027069,0.14758,0.41853,0.23477,0.10724,0.063509,0,2
208_1,0,0.0042815,0.12657,0.5103,0.25769,0.074926,0.026224,0,2
209_1,0.0024969,0.048065,0.1623,0.23471,0.21816,0.17665,0.15762,0,2
210_1,0.0049853,0.051906,0.15924,0.25836,0.2176,0.16774,0.14018,0,2
211_1,0.0041993,0.035834,0.13074,0.32923,0.2458,0.1481,0.1061,0,2
212_1,0.0018339,0.024365,0.12366,0.43883,0.26618,0.094053,0.051087,0,2
213_1,0.0041388,0.040751,0.14104,0.30086,0.2305,0.156,0.12671,0,2
214_1,0.00369,0.035481,0.13029,0.36418,0.23446,0.13937,0.092535,0,2
215_1,0.0014719,0.012953,0.10068,0.4239,0.27671,0.11392,0.070356,0,2
216_1,0.00051773,0.022004,0.23169,0.44603,0.19648,0.068858,0.034429,0,2
217_1,0.0010409,0.042675,0.30601,0.36196,0.16524,0.072079,0.051002,0,2
218_1,0.0018421,0.032368,0.22789,0.38684,0.19053,0.093158,0.067368,0,2
219_1,0.0015633,0.021365,0.19125,0.44112,0.20974,0.081553,0.053413,0,2
220_1,0.030723,0.24361,0.3627,0.18842,0.081294,0.04894,0.044318,0,2
221_1,0.02647,0.26215,0.38229,0.19242,0.07381,0.03945,0.023416,0,2
222_1,0.013564,0.1894,0.3492,0.2471,0.11837,0.056473,0.025894,0,2
223_1,0.0074627,0.092537,0.25299,0.30498,0.18582,0.10174,0.054478,0,2
224_1,0.0050125,0.035589,0.21103,0.32281,0.22506,0.12832,0.07218,0,2
225_1,0.0022455,0.023703,0.2263,0.36976,0.20808,0.11352,0.056387,0,2
226_1,0,0.0094386,0.21783,0.45653,0.19449,0.082712,0.038997,0,2
227_1,0.018356,0.19314,0.30646,0.19952,0.14924,0.083267,0.050013,0,2
228_1,0.0090909,0.092987,0.21948,0.26338,0.2187,0.12338,0.072987,0,2
229_1,0.0055732,0.042463,0.16162,0.28264,0.24363,0.15897,0.1051,0,2
230_1,0.0013301,0.021282,0.17265,0.31418,0.2216,0.16281,0.10615,0,2
231_1,0,0.010422,0.18082,0.38953,0.19932,0.12949,0.090412,0,2
232_1,0,0.0068362,0.1843,0.4676,0.21138,0.084495,0.045392,0,2
233_1,0.011521,0.074365,0.20503,0.29641,0.22336,0.1215,0.067819,0,2
234_1,0.007141,0.037292,0.16266,0.33113,0.23962,0.13436,0.087807,0,2
235_1,0.0013369,0.016578,0.15428,0.36524,0.22754,0.14011,0.09492,0,2
236_1,0,0.010458,0.16523,0.42301,0.20601,0.11503,0.080261,0,2
237_1,0.010392,0.07141,0.24833,0.2939,0.20064,0.11351,0.061817,0,2
238_1,0.0073976,0.047292,0.22774,0.32893,0.20872,0.11017,0.069749,0,2
239_1,0.00055913,0.021526,0.16997,0.36707,0.22141,0.12888,0.090579,0,2
240_1,0.0081643,0.15735,0.4186,0.25285,0.086096,0.05146,0.025482,0,2
241_1,0.0079267,0.10032,0.33218,0.28561,0.14962,0.079762,0.044588,0,2
242_1,0.0052278,0.044312,0.28404,0.33333,0.17177,0.10306,0.058252,0,2
243_1,0.0024704,0.025939,0.27273,0.38463,0.17959,0.08918,0.045455,0,2
244_1,0,0.0070699,0.23043,0.48861,0.17151,0.06651,0.035873,0,2
245_1,0.0047835,0.038016,0.20972,0.34089,0.25227,0.10624,0.048087,0,2
246_1,0.0010155,0.012186,0.12338,0.36786,0.29957,0.12947,0.066514,0,2
247_1,0.00025355,0.00786,0.083164,0.38717,0.3177,0.1354,0.068458,0,2
248_1,0.0068493,0.099052,0.30848,0.34036,0.1578,0.069283,0.018177,0,2
249_1,0.0035907,0.042575,0.19107,0.34727,0.25237,0.10592,0.057194,0,2
250_1,0.0018445,0.0089592,0.091173,0.33939,0.31436,0.1531,0.091173,0,2
251_1,0.0013186,0.007384,0.049314,0.33175,0.32911,0.1693,0.11181,0,2
252_1,0.00025569,0.0025569,0.059831,0.44311,0.32038,0.10995,0.063922,0,2
253_1,0.0048793,0.058295,0.20262,0.33564,0.22393,0.1171,0.057524,0,2
254_1,0.0015756,0.021534,0.12447,0.32327,0.28099,0.15993,0.088235,0,2
255_1,0.0015719,0.010217,0.072832,0.33718,0.3039,0.17605,0.098245,0,2
256_1,0,0.0048688,0.073032,0.42223,0.31647,0.1182,0.065188,0,2
257_1,0.014286,0.12597,0.31558,0.30883,0.14675,0.06,0.028571,0,2
258_1,0.010176,0.079115,0.25337,0.32511,0.18774,0.095904,0.048588,0,2
259_1,0.0018747,0.029995,0.18211,0.3361,0.23246,0.13926,0.0782,0,2
260_1,0.0017462,0.018917,0.11874,0.33295,0.27532,0.15076,0.10157,0,2
261_1,0.0010747,0.02015,0.22461,0.4683,0.18888,0.063407,0.033584,0,2
262_1,0.069049,0.30306,0.32483,0.15019,0.059645,0.052391,0.040838,0,2
263_1,0.054312,0.30224,0.37843,0.17048,0.050541,0.028665,0.015338,0,2
264_1,0.0042543,0.038789,0.24074,0.37788,0.20846,0.087838,0.042042,0,2
265_1,0.001261,0.014628,0.16747,0.43329,0.24464,0.08802,0.050694,0,2
266_1,0,0.0062241,0.10633,0.46136,0.29668,0.084284,0.045124,0,2
267_1,0.0032415,0.057536,0.25905,0.32253,0.16532,0.13668,0.055646,0,2
268_1,0,0.010348,0.27912,0.44999,0.18015,0.052799,0.027594,0,2
269_1,0,0.004929,0.18121,0.4726,0.23543,0.073355,0.032473,0,2
270_1,0,0.012969,0.45701,0.40147,0.07753,0.031012,0.020017,0,2
271_1,0,0.010408,0.36568,0.46329,0.10408,0.033193,0.023347,0,2
272_1,0.014915,0.018552,0.26337,0.3634,0.17825,0.091306,0.070207,0,2
273_1,0.0092711,0.02078,0.29444,0.37404,0.1656,0.082161,0.053708,0,2
274_1,0.0053281,0.019349,0.31296,0.38362,0.15704,0.073752,0.047953,0,2
275_1,0.0044248,0.043658,0.38289,0.29263,0.14012,0.077581,0.058702,0,2
276_1,0.0036081,0.024147,0.35776,0.33694,0.15432,0.073272,0.049958,0,2
277_1,0.0013974,0.14366,0.55059,0.16601,0.062605,0.046674,0.029067,0,2
278_1,0.0013808,0.1182,0.53273,0.19553,0.071803,0.048053,0.032312,0,2
279_1,0.0010962,0.10085,0.49877,0.22938,0.09482,0.046588,0.028501,0,2
280_1,0.012513,0.14474,0.47075,0.1701,0.078796,0.069327,0.053771,0,2
281_1,0.012097,0.093842,0.44282,0.20858,0.097141,0.080279,0.065249,0,2
282_1,0.010269,0.059844,0.4005,0.25177,0.1289,0.078612,0.070113,0,2
283_1,0.0021848,0.042447,0.3324,0.30243,0.1726,0.088015,0.059925,0,2
284_1,0.013347,0.020354,0.30163,0.31398,0.15182,0.11612,0.082749,0,2
285_1,0.008367,0.019331,0.34334,0.34045,0.13935,0.088286,0.060877,0,2
286_1,0.0023337,0.083139,0.43961,0.23541,0.10939,0.07818,0.051925,0,2
287_1,0.0013805,0.052457,0.42684,0.27471,0.1201,0.075925,0.048592,0,2
288_1,0,0.032544,0.45455,0.30742,0.099516,0.060247,0.045724,0,2
289_1,0,0.020624,0.48304,0.327,0.091452,0.041248,0.036635,0,2
290_1,0.0061801,0.23661,0.34785,0.14597,0.11154,0.083873,0.067981,0,2
291_1,0.0056197,0.17015,0.38901,0.15423,0.12114,0.088042,0.071808,0,2
292_1,0.0037927,0.11283,0.42794,0.18742,0.12895,0.083439,0.055626,0,2
293_1,0.0015051,0.071945,0.4103,0.24112,0.14269,0.074654,0.057797,0,2
294_1,0.0034394,0.049011,0.28074,0.22313,0.1896,0.14617,0.10791,0,2
295_1,0.0026326,0.023317,0.21549,0.31816,0.21437,0.12975,0.096277,0,2
296_1,0.014615,0.05911,0.3774,0.27087,0.12959,0.079896,0.068529,0,2
297_1,0.011649,0.03832,0.38535,0.28571,0.13703,0.081852,0.060086,0,2
298_1,0.0068788,0.03554,0.38894,0.31929,0.14245,0.069361,0.037547,0,2
299_1,0.0011799,0.078171,0.45162,0.25546,0.1174,0.057227,0.038938,0,2
300_1,0.00083333,0.072778,0.48889,0.25306,0.094167,0.053056,0.037222,0,2
301_1,0.0010802,0.064002,0.495,0.26384,0.095598,0.044829,0.035647,0,2
302_1,0.0013528,0.060335,0.52273,0.25785,0.08171,0.044913,0.031115,0,2
303_1,0.003252,0.21734,0.45176,0.17859,0.069377,0.042818,0.036856,0,2
304_1,0.0020492,0.14286,0.43091,0.23009,0.090457,0.048302,0.055328,0,2
305_1,0.0014797,0.052974,0.37289,0.3359,0.11897,0.056526,0.061261,0,2
306_1,0.004995,0.1342,0.38894,0.25008,0.092907,0.068598,0.060273,0,2
307_1,0.0039049,0.077742,0.32588,0.28647,0.1246,0.083422,0.097977,0,2
308_1,0.0040456,0.024641,0.22545,0.3744,0.16697,0.095991,0.1085,0,2
309_1,0.013024,0.060991,0.28844,0.28335,0.169,0.10356,0.081639,0,2
310_1,0.010743,0.042357,0.28146,0.31001,0.16728,0.10559,0.082566,0,2
311_1,0.0030012,0.059424,0.32923,0.31122,0.14526,0.085234,0.066627,0,2
312_1,0.0090115,0.041115,0.27598,0.30329,0.16897,0.11095,0.090679,0,2
313_1,0.0070941,0.023738,0.27312,0.33834,0.16671,0.10723,0.083765,0,2
314_1,0.0072296,0.020532,0.26778,0.35599,0.17611,0.10324,0.069115,0,2
315_1,0.0045512,0.18129,0.5646,0.14336,0.055879,0.032111,0.018205,0,2
316_1,0.0061978,0.13096,0.5225,0.18135,0.078685,0.049582,0.030719,0,2
317_1,0.0051842,0.085675,0.44366,0.23356,0.11705,0.072033,0.042838,0,2
318_1,0.0018298,0.060384,0.38609,0.29186,0.14242,0.071668,0.045746,0,2
319_1,0.011421,0.16122,0.49615,0.17849,0.0749,0.043559,0.034263,0,2
320_1,0.014969,0.11506,0.43587,0.21426,0.10038,0.070443,0.049017,0,2
